starttime,activebuyquotevolume,activebuyvolume,close,endtime,eventtime,eventtype,firsttradeid,high,ignoreparam,interval,isfinal,lasttradeid,low,open,quotevolume,symbol,tradenum,volume,vrb_basis_24,vrb_stdev_24,vrb_bb_upper,vrb_bb_lower,vrb_atr_24,vrb_atr_band,vrb_reversal_upper,vrb_reversal_lower,vrb_long_signal,vrb_short_signal,vrb_ratio,vrb_ratio_clamped,vrb_near_upper,vrb_near_lower,st_line,st_dir,st_up,st_dn,st_buy,st_sell
2023-08-07 08:00:00,38587921.6518423,1326.54697,29091.44,1691409599999,1691395200000,kline,0,29153.86,-3689348814741910324,4h,True,0,29045.14,29094.09,83516255.2204546,BTCUSDT,66898,2870.95625,29118.525833333333,76.08045209496166,29308.726963570738,28928.32470309593,189.28786155636578,189.28786155636578,29498.014825127102,28739.036841539564,False,False,0.4643127548900627,0.4643127548900627,False,False,32459.369378262607,1,32459.369378262607,25726.160621737392,False,False
2023-08-07 12:00:00,104400691.52618,3601.67958,28858.44,1691423999999,1691409600000,kline,0,29150.0,-3689348814741910324,4h,True,0,28788.73,29091.44,233105379.7879001,BTCUSDT,182844,8042.90902,29101.832916666666,86.63186944765259,29318.4125902858,28885.253243047533,196.4537839915172,196.4537839915172,29514.866374277317,28688.799459056016,False,False,0.20535932116169642,0.20535932116169642,False,False,32237.289159349475,1,32237.289159349475,25726.160621737392,False,False
2023-08-07 16:00:00,152365807.2222608,5255.69805,29154.91,1691438399999,1691424000000,kline,0,29186.74,-3689348814741910324,4h,True,0,28701.03,28858.45,296130159.03555405,BTCUSDT,198151,10217.00216,29096.56583333333,79.07214295170228,29294.246190712587,28898.885475954074,208.50612632520412,208.50612632520412,29502.75231703779,28690.37934962887,False,False,0.5718194339390187,0.5718194339390187,False,False,32187.435951382,1,32187.435951382,25825.914048617997,False,False
2023-08-07 20:00:00,50580409.9154528,1732.96776,29211.06,1691452799999,1691438400000,kline,0,29276.78,-3689348814741910324,4h,True,0,29121.12,29154.91,93846170.8989437,BTCUSDT,77171,3215.22208,29097.291666666668,80.0339946869939,29297.37665338415,28897.206679949184,206.3042043949873,206.3042043949873,29503.680857779138,28690.902475554198,False,False,0.6399746054046102,0.6399746054046102,False,False,32187.435951382,1,32187.435951382,26145.820846187096,False,False
2023-08-08 00:00:00,36145512.9692664,1238.16001,29195.08,1691467199999,1691452800000,kline,0,29260.1,-3689348814741910324,4h,True,0,29146.45,29211.06,76311512.1567292,BTCUSDT,58583,2613.81378,29098.699583333335,81.43242732880992,29302.28065165536,28895.11851501131,202.44361254519606,202.44361254519606,29504.72426420056,28692.67490246611,False,False,0.6186878793437002,0.6186878793437002,False,False,32092.770446122257,1,32092.770446122257,26313.369553877743,False,False
2023-08-08 04:00:00,61992588.3771395,2119.82078,29187.62,1691481599999,1691467200000,kline,0,29331.24,-3689348814741910324,4h,True,0,29181.81,29195.09,116520479.3842289,BTCUSDT,77338,3984.65386,29097.645416666666,80.09984181109193,29297.895021194396,28897.395812138937,200.23471202247958,200.23471202247958,29498.129733216876,28697.161100116457,False,False,0.6123322182855722,0.6123322182855722,False,False,31938.616923816146,1,31938.616923816146,26444.08307618385,False,False
2023-08-08 08:00:00,72317038.2397898,2468.68594,29438.63,1691495999999,1691481600000,kline,0,29441.96,-3689348814741910324,4h,True,0,29171.47,29187.62,136919715.0739557,BTCUSDT,99319,4673.9121,29108.94208333333,104.54470845765002,29370.303854477457,28847.580312189206,203.16201568820952,203.16201568820952,29573.465870165666,28644.418296500997,False,False,0.8548665601334072,0.8548665601334072,False,False,31938.616923816146,1,31938.616923816146,26634.193672374662,False,False
2023-08-08 12:00:00,196063911.35177752,6647.53646,29535.39,1691510399999,1691496000000,kline,0,29674.7,-3689348814741910324,4h,True,0,29354.0,29438.63,360706774.8358761,BTCUSDT,225655,12230.25712,29119.821666666667,131.33778596513636,29448.166131579506,28791.477201753827,208.05943170120085,208.05943170120085,29656.225563280706,28583.417770052627,False,False,0.8873651328379032,0.8873651328379032,False,False,31938.616923816146,1,31938.616923816146,26915.41623875593,False,False
2023-08-08 16:00:00,216989202.5429224,7285.48625,29884.24,1691524799999,1691510400000,kline,0,29950.0,-3689348814741910324,4h,True,0,29535.38,29535.38,402449124.83202046,BTCUSDT,237011,13510.46737,29155.329166666666,200.03804152620552,29655.42427048218,28655.234062851152,216.6661220469841,216.6661220469841,29872.090392529164,28438.56794080417,False,True,1.0084753520645717,1.0,True,False,31938.616923816146,1,31938.616923816146,27170.867176818134,False,False
2023-08-08 20:00:00,132653248.0921408,4429.93189,29770.42,1691539199999,1691524800000,kline,0,30244.0,-3689348814741910324,4h,True,0,29685.76,29884.23,260026925.38315687,BTCUSDT,179262,8687.42969,29182.68041666667,234.43539078815178,29768.76889363705,28596.59193969629,230.89836696169314,230.89836696169314,29999.667260598744,28365.693572734595,False,False,0.8596995396551295,0.8596995396551295,False,False,31938.616923816146,1,31938.616923816146,27384.029067977226,False,False
